[ 2026-04-08 11:29:40,256 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-08 11:29:46,560 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-08 11:29:46,560 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-08 11:29:46,560 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-08 11:29:46,593 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-08 11:29:46,593 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-08 11:29:46,619 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-08 11:29:46,719 ] 32 root - INFO - Required number of columns:2
[ 2026-04-08 11:29:46,719 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-08 11:29:46,719 ] 32 root - INFO - Required number of columns:2
[ 2026-04-08 11:29:46,719 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-08 11:29:46,817 ] 28 root - INFO - data Validation Completed
[ 2026-04-08 11:29:46,817 ] 31 root - INFO - data Transformation started
[ 2026-04-08 11:29:46,817 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-08 11:29:46,818 ] 65 root - INFO - Starting data transformation
[ 2026-04-08 11:29:46,835 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-08 11:29:46,835 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-08 11:29:46,847 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 11:29:46,849 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 11:29:46,849 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 11:29:46,852 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 11:29:46,853 ] 35 root - INFO - data Transformation completed
[ 2026-04-08 11:29:46,854 ] 37 root - INFO - Model Training sstared
[ 2026-04-08 11:32:16,706 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 11:32:16,707 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 11:32:16,707 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 11:32:16,722 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 11:32:16,722 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_08_2026_11_29_27\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915710368640195, precision_score=0.9892603850050659, recall_score=0.9938925081433225), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.973015873015873, precision_score=0.9615686274509804, recall_score=0.9847389558232932))
[ 2026-04-08 11:32:16,724 ] 42 root - INFO - Model Training artifact created
