[ 2026-04-08 11:38:31,353 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-08 11:38:37,186 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-08 11:38:37,186 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-08 11:38:37,186 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-08 11:38:37,218 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-08 11:38:37,218 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-08 11:38:37,222 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-08 11:38:37,316 ] 32 root - INFO - Required number of columns:2
[ 2026-04-08 11:38:37,317 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-08 11:38:37,317 ] 32 root - INFO - Required number of columns:2
[ 2026-04-08 11:38:37,317 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-08 11:38:37,402 ] 28 root - INFO - data Validation Completed
[ 2026-04-08 11:38:37,402 ] 31 root - INFO - data Transformation started
[ 2026-04-08 11:38:37,402 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-08 11:38:37,402 ] 65 root - INFO - Starting data transformation
[ 2026-04-08 11:38:37,421 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-08 11:38:37,421 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-08 11:38:37,433 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 11:38:37,436 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 11:38:37,436 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 11:38:37,438 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 11:38:37,439 ] 35 root - INFO - data Transformation completed
[ 2026-04-08 11:38:37,440 ] 37 root - INFO - Model Training sstared
[ 2026-04-08 11:40:57,671 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 11:40:57,672 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 11:40:57,672 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 11:40:57,690 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 11:40:57,690 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_08_2026_11_38_29\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9923618090452261, precision_score=0.9897754611066559, recall_score=0.9949617089883112), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9715229054890632, precision_score=0.9584690553745928, recall_score=0.9849372384937238))
[ 2026-04-08 11:40:57,692 ] 42 root - INFO - Model Training artifact created
