[ 2026-04-08 12:30:02,835 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-08 12:30:08,553 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-08 12:30:08,553 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-08 12:30:08,553 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-08 12:30:08,585 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-08 12:30:08,585 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-08 12:30:08,589 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-08 12:30:08,679 ] 32 root - INFO - Required number of columns:2
[ 2026-04-08 12:30:08,683 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-08 12:30:08,683 ] 32 root - INFO - Required number of columns:2
[ 2026-04-08 12:30:08,683 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-08 12:30:08,782 ] 28 root - INFO - data Validation Completed
[ 2026-04-08 12:30:08,783 ] 31 root - INFO - data Transformation started
[ 2026-04-08 12:30:08,783 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-08 12:30:08,783 ] 65 root - INFO - Starting data transformation
[ 2026-04-08 12:30:08,799 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-08 12:30:08,799 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-08 12:30:08,811 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 12:30:08,814 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 12:30:08,814 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 12:30:08,817 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 12:30:08,818 ] 35 root - INFO - data Transformation completed
[ 2026-04-08 12:30:08,818 ] 37 root - INFO - Model Training sstared
[ 2026-04-08 12:32:28,869 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 12:32:28,871 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 12:32:28,871 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 12:32:28,875 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 12:32:28,876 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_08_2026_12_30_00\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912548301810047, precision_score=0.9884404786047455, recall_score=0.9940852539261676), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9758415841584158, precision_score=0.969315499606609, recall_score=0.9824561403508771))
[ 2026-04-08 12:32:28,877 ] 42 root - INFO - Model Training artifact created
